!STATION,ANTENNA-TYPE,ANTENNA-ID,ETRS-X,ETRS-Y,ETRS-Z,RCU-X,RCU-Y
! from https://github.com/lofar-astron/lofar-antenna-positions Edited to leave only Dutch LBA
CS002,LBA,37,3826574.824,461035.840,5064893.312,74,75
CS002,LBA,38,3826578.629,461035.458,5064890.490,76,77
CS002,LBA,39,3826583.884,461032.660,5064886.798,78,79
CS002,LBA,40,3826585.772,461031.053,5064885.526,80,81
CS002,LBA,41,3826587.548,461026.105,5064884.641,82,83
CS002,LBA,42,3826589.541,461022.659,5064883.456,84,85
CS002,LBA,43,3826587.080,461014.541,5064886.037,86,87
CS002,LBA,44,3826584.895,461011.796,5064887.925,88,89
CS002,LBA,45,3826581.367,461008.779,5064890.846,90,91
CS002,LBA,46,3826603.808,460976.998,5064876.875,92,93
CS002,LBA,47,3826612.942,461052.775,5064863.169,94,95
CS002,LBA,48,3826579.845,461004.829,5064892.346,1,0
CS002,LBA,49,3826578.418,461002.430,5064893.634,3,2
CS002,LBA,50,3826566.631,461008.153,5064901.964,5,4
CS002,LBA,51,3826561.591,461023.269,5064904.381,7,6
CS002,LBA,52,3826561.401,461028.186,5064904.079,9,8
CS002,LBA,53,3826567.724,461036.942,5064898.542,11,10
CS002,LBA,54,3826577.824,461040.425,5064890.646,13,12
CS002,LBA,55,3826584.173,461040.745,5064885.851,15,14
CS002,LBA,56,3826590.845,461028.566,5064881.943,17,16
CS002,LBA,57,3826593.363,461020.884,5064880.748,19,18
CS002,LBA,58,3826590.234,461011.978,5064883.902,21,20
CS002,LBA,59,3826591.241,461003.848,5064883.880,23,22
CS002,LBA,60,3826582.152,460998.116,5064891.221,25,24
CS002,LBA,61,3826571.839,460998.710,5064898.908,27,26
CS002,LBA,62,3826567.152,461001.274,5064902.194,29,28
CS002,LBA,63,3826561.409,461006.093,5064906.069,31,30
CS002,LBA,64,3826558.276,461023.431,5064906.855,33,32
CS002,LBA,65,3826558.805,461031.312,5064905.745,35,34
CS002,LBA,66,3826563.800,461043.298,5064900.913,37,36
CS002,LBA,67,3826574.447,461047.588,5064892.533,39,38
CS002,LBA,68,3826581.887,461047.680,5064886.940,41,40
CS002,LBA,69,3826589.895,461041.026,5064881.531,43,42
CS002,LBA,70,3826598.341,461028.317,5064876.339,45,44
